video,clip_start_frame,mse,regularity_score
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,104,0.00297431,0.72822542
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,105,0.00297536,0.72796621
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,106,0.00297580,0.72785846
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,107,0.00297576,0.72786960
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,108,0.00297878,0.72712335
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,109,0.00298044,0.72671441
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,110,0.00298370,0.72591089
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,111,0.00298824,0.72478895
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,112,0.00299822,0.72232848
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,113,0.00300292,0.72116869
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,114,0.00301282,0.71872557
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,115,0.00302666,0.71531219
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,116,0.00305000,0.70955517
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,117,0.00307660,0.70299278
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,118,0.00309615,0.69817138
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,119,0.00314985,0.68492463
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,120,0.00319693,0.67331041
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,121,0.00325975,0.65781226
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,122,0.00329799,0.64838006
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,123,0.00337180,0.63017165
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,124,0.00342544,0.61694035
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,125,0.00349597,0.59954269
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,126,0.00356939,0.58143134
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,127,0.00362072,0.56876853
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,128,0.00368485,0.55294937
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,129,0.00367673,0.55495133
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,130,0.00382001,0.51960630
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,131,0.00378551,0.52811643
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,132,0.00392094,0.49470783
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,133,0.00387252,0.50665333
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,134,0.00394425,0.48895787
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,135,0.00395158,0.48715130
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,136,0.00400277,0.47452255
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,137,0.00391697,0.49568859
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,138,0.00393208,0.49195990
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,139,0.00383459,0.51601040
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,140,0.00389187,0.50188052
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,141,0.00376229,0.53384404
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,142,0.00379053,0.52687962
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,143,0.00370565,0.54781649
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,144,0.00372168,0.54386196
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,145,0.00362624,0.56740703
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,146,0.00361792,0.56945810
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,147,0.00352911,0.59136626
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,148,0.00346866,0.60627962
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,149,0.00336507,0.63183302
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,150,0.00332696,0.64123271
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,151,0.00321519,0.66880548
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,152,0.00314431,0.68628998
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,153,0.00311531,0.69344498
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,154,0.00309106,0.69942663
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,155,0.00307074,0.70443832
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,156,0.00305602,0.70807012
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,157,0.00304180,0.71157809
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,158,0.00303117,0.71420059
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,159,0.00302211,0.71643356
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,160,0.00301515,0.71815070
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,161,0.00300886,0.71970334
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,162,0.00300450,0.72077842
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,163,0.00300160,0.72149527
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,164,0.00299974,0.72195211
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,165,0.00299780,0.72243163
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,166,0.00299713,0.72259762
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,167,0.00299548,0.72300398
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,168,0.00299391,0.72339109
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,169,0.00299380,0.72341866
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,170,0.00299302,0.72361176
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,171,0.00299221,0.72380951
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,172,0.00299212,0.72383168
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,173,0.00299121,0.72405791
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,174,0.00299023,0.72430000
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,175,0.00299026,0.72429150
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,176,0.00298930,0.72452854
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,177,0.00298838,0.72475432
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,178,0.00298845,0.72473732
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,179,0.00298780,0.72489831
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,180,0.00298713,0.72506435
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,181,0.00298750,0.72497286
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,182,0.00298678,0.72515016
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,183,0.00298609,0.72532114
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,184,0.00298592,0.72536250
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,185,0.00298530,0.72551614
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,186,0.00298433,0.72575518
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,187,0.00298466,0.72567334
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,188,0.00298424,0.72577609
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,189,0.00298369,0.72591227
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,190,0.00298380,0.72588637
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,191,0.00298376,0.72589395
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,192,0.00298331,0.72600675
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,193,0.00298370,0.72590928
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,194,0.00298298,0.72608837
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,195,0.00298269,0.72615849
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,196,0.00298325,0.72602076
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,197,0.00298319,0.72603673
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,198,0.00298286,0.72611777
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,199,0.00298349,0.72596247
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,200,0.00298336,0.72599308
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,201,0.00298334,0.72599813
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,202,0.00298375,0.72589711
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,203,0.00298395,0.72584903
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,204,0.00298389,0.72586351
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,205,0.00298435,0.72574921
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,206,0.00298483,0.72563198
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,207,0.00298470,0.72566306
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,208,0.00298557,0.72544842
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,209,0.00298637,0.72525119
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,210,0.00298673,0.72516320
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,211,0.00298742,0.72499095
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,212,0.00298746,0.72498153
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,213,0.00298734,0.72501128
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,214,0.00298811,0.72482203
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,215,0.00298822,0.72479601
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,216,0.00298833,0.72476689
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,217,0.00298890,0.72462692
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,218,0.00298972,0.72442378
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,219,0.00298957,0.72446134
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,220,0.00299079,0.72416101
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,221,0.00299265,0.72370164
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,222,0.00299534,0.72303941
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,223,0.00299860,0.72223360
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,224,0.00300280,0.72119821
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,225,0.00300653,0.72027712
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,226,0.00301194,0.71894359
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,227,0.00301669,0.71777053
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,228,0.00302238,0.71636848
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,229,0.00312274,0.69161095
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,230,0.00319373,0.67409952
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,231,0.00332149,0.64258278
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,232,0.00337684,0.62892892
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,233,0.00361165,0.57100632
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,234,0.00367582,0.55517544
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,235,0.00374160,0.53894958
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,236,0.00376571,0.53300141
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,237,0.00390394,0.49890359
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,238,0.00381426,0.52102507
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,239,0.00396271,0.48440452
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,240,0.00398971,0.47774375
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,241,0.00418300,0.43006398
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,242,0.00434479,0.39015256
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,243,0.00459715,0.32789940
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,244,0.00477487,0.28405918
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,245,0.00496068,0.23822401
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,246,0.00499669,0.22933957
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,247,0.00521160,0.17632648
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,248,0.00529760,0.15511070
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,249,0.00539903,0.13008960
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,250,0.00542293,0.12419514
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,251,0.00550915,0.10292571
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,252,0.00541468,0.12622892
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,253,0.00555586,0.09140339
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,254,0.00560377,0.07958448
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,255,0.00567537,0.06192164
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,256,0.00569658,0.05668941
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,257,0.00557960,0.08554684
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,258,0.00549525,0.10635437
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,259,0.00539673,0.13065649
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,260,0.00520421,0.17814764
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,261,0.00498069,0.23328733
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,262,0.00467465,0.30878116
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,263,0.00439795,0.37703986
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,264,0.00416942,0.43341395
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,265,0.00401339,0.47190304
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,266,0.00394019,0.48996023
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,267,0.00390505,0.49862899
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,268,0.00404739,0.46351715
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,269,0.00401447,0.47163781
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,270,0.00403410,0.46679533
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,271,0.00406165,0.45999763
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,272,0.00407156,0.45755388
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,273,0.00409080,0.45280662
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,274,0.00412653,0.44399307
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,275,0.00417499,0.43203884
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,276,0.00422828,0.41889432
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,277,0.00429678,0.40199640
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,278,0.00437612,0.38242304
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,279,0.00447120,0.35896889
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,280,0.00460198,0.32670865
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,281,0.00472326,0.29678971
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,282,0.00484281,0.26730015
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,283,0.00467148,0.30956400
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,284,0.00464316,0.31655019
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,285,0.00466472,0.31123192
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,286,0.00468485,0.30626664
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,287,0.00471490,0.29885186
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,288,0.00474379,0.29172599
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,289,0.00477650,0.28365645
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,290,0.00479801,0.27835069
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,291,0.00481421,0.27435469
C:\VIXMO AI\0-Code\loitering\lab\lab.mp4,292,0.00481939,0.27307664
